filename	inode	size_bytes	sha256	reference_sha256	reference_status	vermagic	srcversion	required_symbol_version_count
abc_hub.ko	11	33768	4602a8b53e6b3dc81302cf678235cc55523400ed371935a27beb20466876f650	4602a8b53e6b3dc81302cf678235cc55523400ed371935a27beb20466876f650	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		35
adsp_factory_module.ko	12	220872	5e09af2b43e5425ad663921ae8df945da0a7f8e6c3d384deb254ee7f2595c8cf	5e09af2b43e5425ad663921ae8df945da0a7f8e6c3d384deb254ee7f2595c8cf	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		60
adsp_loader_dlkm.ko	13	24736	df795550162caacbdc3a0c5f667798e36385be8fa7c290bec95d90e4252db154		vendor-dlkm-only	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		37
adsp_sleepmon.ko	14	52120	6cfcdb0ede52fe8c5c52c4539747958647a9b3830bf93d46b72a1f509e9c63fe	6cfcdb0ede52fe8c5c52c4539747958647a9b3830bf93d46b72a1f509e9c63fe	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		68
akm.ko	15	59744	4ae28461d4b248745a82bf1951b2dc8acfded58e555f69e14860f0387c2fdca8	4ae28461d4b248745a82bf1951b2dc8acfded58e555f69e14860f0387c2fdca8	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		53
altmode-glink.ko	16	33984	58b12d743e8df8c1d488c03d65c31945647d54f00db9d6041f4afc88900e99d0	58b12d743e8df8c1d488c03d65c31945647d54f00db9d6041f4afc88900e99d0	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		43
audio_pkt_dlkm.ko	17	42752	7af1406ca2133e4cbc92a610bc684dae78f59617294edd526a39f346b9d18c38		vendor-dlkm-only	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		55
audio_prm_dlkm.ko	18	25280	98cc731514132a3d6d1c1de8b4636f1bd02eef60fc05315e20e003c9d4ebdc04		vendor-dlkm-only	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		24
audpkt_ion_dlkm.ko	19	36152	55edfe18564b2add2ae2a06b6de4c44b7fc130268837daa71bc86e141d65d592		vendor-dlkm-only	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		42
bam_dma.ko	20	57800	58eca046369ec9d2c730864a91ab2207d406bcf28daff62f73b3d46c8015a37b	58eca046369ec9d2c730864a91ab2207d406bcf28daff62f73b3d46c8015a37b	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		71
bcl_soc.ko	21	19096	24db71ea203e0bd7ddd01164729ff503fd6e8ca0e62f045ad4b3207a6c853c45	24db71ea203e0bd7ddd01164729ff503fd6e8ca0e62f045ad4b3207a6c853c45	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		21
bcm4389.ko	22	17392	c68ab6ca4fea1901d2db897546973f67df4927ca03ba2d4f842742a218f2a7c5	c68ab6ca4fea1901d2db897546973f67df4927ca03ba2d4f842742a218f2a7c5	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		17
blk-sec-stats.ko	23	32072	852814f55230f5d9cb178026006ec3daead3fe1e4b2b57253b0b4c25c725975c	852814f55230f5d9cb178026006ec3daead3fe1e4b2b57253b0b4c25c725975c	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64	DDC0507EAA257F438C5EE5D	31
bluesleep.ko	24	69080	faa61e5c1bf9bad6ccc187dae4958327c3aaff894036952251fb0d220f19407c	faa61e5c1bf9bad6ccc187dae4958327c3aaff894036952251fb0d220f19407c	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		56
boot_stats.ko	25	16400	25882cfdca9166527aa8d275703d29daeef50072de1f1037291f2d1b43c81d4c	25882cfdca9166527aa8d275703d29daeef50072de1f1037291f2d1b43c81d4c	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		11
bt_fm_slim.ko	26	49728	4a97fc911f22fdb16069c1677bd130634a81cb099096322d93da6482161c2477	4a97fc911f22fdb16069c1677bd130634a81cb099096322d93da6482161c2477	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		37
btpower.ko	27	60344	2759451ef7782bec1ba0e61367eea1c5ffee504c6fd42bb11173fc2b4f68aa30	2759451ef7782bec1ba0e61367eea1c5ffee504c6fd42bb11173fc2b4f68aa30	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		64
camcc-diwali.ko	28	144248	61d5c6f63b28ff26c6d57cdb7149c26c8c5ce8aee66f892d3d650cc27837a5f2	61d5c6f63b28ff26c6d57cdb7149c26c8c5ce8aee66f892d3d650cc27837a5f2	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		25
camcc-waipio.ko	29	184264	d4095a0cbfb4041d044ea034a53eca66c7f281c7590f2f696026444209770375	d4095a0cbfb4041d044ea034a53eca66c7f281c7590f2f696026444209770375	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		29
camera.ko	30	6882456	708ac3586475e0a94750c71e482356736129afd9e5ecafaaec32dd0738bf5b4d		vendor-dlkm-only	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		366
cdsp-loader.ko	31	21016	39dda1eb5e57695baa2d035613701e5a4e623c7243a48fe207f1663f757f4e02	39dda1eb5e57695baa2d035613701e5a4e623c7243a48fe207f1663f757f4e02	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		24
cdsprm.ko	32	61824	a4751548ff903b787148720ad727eb26f54a97246b504fe833040b2359ab18fb	a4751548ff903b787148720ad727eb26f54a97246b504fe833040b2359ab18fb	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		59
charger-ulog-glink.ko	33	30640	e66fb5a975077f64893ad9b2e745261cc1bfd5f076e6defc353da934906af9be	e66fb5a975077f64893ad9b2e745261cc1bfd5f076e6defc353da934906af9be	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		36
cl_dsp.ko	34	32144	a6f3dd1f8086c9072fc513ad9353d6b280253e48f7923d26e4b2aedb0552f23b	a6f3dd1f8086c9072fc513ad9353d6b280253e48f7923d26e4b2aedb0552f23b	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		17
cnss2.ko	35	1035960	ecb23fca70c780cb821b02e55b064490d534102588b20db0121d4eba321b214d	ecb23fca70c780cb821b02e55b064490d534102588b20db0121d4eba321b214d	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		331
cnss_nl.ko	36	16552	79d458d1c82c6250c50d77a782c1e11f7be182067ea518fb693a5724548793c7	79d458d1c82c6250c50d77a782c1e11f7be182067ea518fb693a5724548793c7	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		8
cnss_plat_ipc_qmi_svc.ko	37	61680	a6baa641eef2fe27a4a1ca19c95a4382160b387d9a118729d08d5823124c748f	a6baa641eef2fe27a4a1ca19c95a4382160b387d9a118729d08d5823124c748f	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		37
cnss_prealloc.ko	38	19232	d40ed0368c9154abe93fc501f0f7cbe906c52807a62b0644609e9058b5e00cf3	d40ed0368c9154abe93fc501f0f7cbe906c52807a62b0644609e9058b5e00cf3	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		15
cnss_utils.ko	39	34512	5b42bca82f3cd7d29a07140987d57d3f07bf732019e23dab8f3182c47e88ce26	5b42bca82f3cd7d29a07140987d57d3f07bf732019e23dab8f3182c47e88ce26	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		35
common_muic.ko	40	62344	f373e8ddbba77d4b80027ed9485bc0b38b5f9961227d32f5baa0cfbdaa2f2c16	f373e8ddbba77d4b80027ed9485bc0b38b5f9961227d32f5baa0cfbdaa2f2c16	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		20
core_hang_detect.ko	41	24968	482fc484a30d4138fb4a72b3aeb5cdc182c1a68e23bc24fb3be152e8c3682eb3	482fc484a30d4138fb4a72b3aeb5cdc182c1a68e23bc24fb3be152e8c3682eb3	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		27
coresight-csr.ko	42	48792	283373a6f485bf1ea2be18942830821b65284b8dfc5506d88540eaad4a03937f	283373a6f485bf1ea2be18942830821b65284b8dfc5506d88540eaad4a03937f	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		41
coresight-cti.ko	43	131344	d7498a36d9ebc572b509f2e87b0d7a41b4921c395093004b2ebd350b25ae0802	d7498a36d9ebc572b509f2e87b0d7a41b4921c395093004b2ebd350b25ae0802	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		83
coresight-dummy.ko	44	16776	3653e1fdeb8681423ca88ea8e1dc0459abb066e17533c6930c70ebf5a685da56	3653e1fdeb8681423ca88ea8e1dc0459abb066e17533c6930c70ebf5a685da56	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		14
coresight-funnel.ko	45	33112	d1ac7c39fefe828df9a22661d62a4086e415c4f5df0c016f2a838a20b583b5d0	d1ac7c39fefe828df9a22661d62a4086e415c4f5df0c016f2a838a20b583b5d0	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		47
coresight-hwevent.ko	46	20496	d37a579bf2ad94a99e92493b1f8fe5608efd8abea144f8c607fae69587e3cd67	d37a579bf2ad94a99e92493b1f8fe5608efd8abea144f8c607fae69587e3cd67	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		33
coresight-remote-etm.ko	47	21616	fa0232049e192ceb748c5e14eb6c39b3c0c5873078db1ed2fbdd40cb9a62fcda	fa0232049e192ceb748c5e14eb6c39b3c0c5873078db1ed2fbdd40cb9a62fcda	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		26
coresight-replicator.ko	48	35568	f49a6735ab71025747d108bc42ed152a7626510df9dd46394a7b96e259966f9d	f49a6735ab71025747d108bc42ed152a7626510df9dd46394a7b96e259966f9d	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		42
coresight-stm.ko	49	50168	7f2dbde56231ae4e17201669c67e0dce3df57bd202c46aca2fe9976886bc0560	7f2dbde56231ae4e17201669c67e0dce3df57bd202c46aca2fe9976886bc0560	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		39
coresight-tgu.ko	50	24768	aa8136355b818411ee806ef6f3cfdf6cdc774284dd5f2324f666ecf52637c909	aa8136355b818411ee806ef6f3cfdf6cdc774284dd5f2324f666ecf52637c909	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		19
coresight-tmc.ko	51	178288	f3ecca84938201c59a1fdb76e2edbac5e2495fcd15a21defaf06e319b4a5989c	f3ecca84938201c59a1fdb76e2edbac5e2495fcd15a21defaf06e319b4a5989c	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		135
coresight-tpda.ko	52	41696	a9910a0e1ddd683abf8cbc87250045418dd9e5013c239f16fd5d73ae13abdf67	a9910a0e1ddd683abf8cbc87250045418dd9e5013c239f16fd5d73ae13abdf67	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		28
coresight-tpdm.ko	53	181512	d720eb7a2bcf807d8b8f72f718d3518a2970fd12dccd48049f481bd580bb6b06	d720eb7a2bcf807d8b8f72f718d3518a2970fd12dccd48049f481bd580bb6b06	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		33
coresight.ko	54	108624	e57e847fb7eaa23173849ea2e23833f2170660604f5af5d33a08b9f7de637e74	e57e847fb7eaa23173849ea2e23833f2170660604f5af5d33a08b9f7de637e74	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		96
cpufreq_limit.ko	55	52512	f3cdd603f9edb1e7546e517f91ee27f5e469da4de5188b94e115dfd2c2777ffd	f3cdd603f9edb1e7546e517f91ee27f5e469da4de5188b94e115dfd2c2777ffd	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		33
dcc_v2.ko	56	79160	ec4fefa73ba9b96c6d7577c6fe85ab8b599a7430a997cfc2060d53d2a6b4c445	ec4fefa73ba9b96c6d7577c6fe85ab8b599a7430a997cfc2060d53d2a6b4c445	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		59
debugcc-diwali.ko	57	99592	971a66f742572855269d6506d1d2f612fba3541ff061cd624073679e59edee27	971a66f742572855269d6506d1d2f612fba3541ff061cd624073679e59edee27	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		12
debugcc-waipio.ko	58	45968	92034557fb9f6b9a7d3bbf92e68b66d801bb4ffc66a5e981e57c4a42efb3cded	92034557fb9f6b9a7d3bbf92e68b66d801bb4ffc66a5e981e57c4a42efb3cded	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		12
dev_ril_bridge.ko	59	32688	b930f1babaaad035e18c1784b0b674f856b5deb5a5ab01c0aca3a8a093e17e79	b930f1babaaad035e18c1784b0b674f856b5deb5a5ab01c0aca3a8a093e17e79	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		37
dhd.ko	60	10031024	9e45a9c35ef8f3d61fb71f01213419261b9bd944d3356abd42eec5488322599f	9e45a9c35ef8f3d61fb71f01213419261b9bd944d3356abd42eec5488322599f	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		344
dmesg_dumper.ko	61	19752	bd5dd4985398076beb048daddc525fef09b2f56bdf17fe1ae91a53647bcff57f	bd5dd4985398076beb048daddc525fef09b2f56bdf17fe1ae91a53647bcff57f	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		28
dropdump.ko	62	40728	c3d24c4b3edca9ed807ea53a69e30fa53ba3cc7195978dae684fb80f22d7a76a	c3d24c4b3edca9ed807ea53a69e30fa53ba3cc7195978dae684fb80f22d7a76a	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		37
dwc3-msm.ko	63	308624	8913b050419e88699033e957d927beef86742ed035f531dc5c4729f50cea60f1	8913b050419e88699033e957d927beef86742ed035f531dc5c4729f50cea60f1	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		190
ehset.ko	64	14176	a4eba73c7c202b2222a2e157221cda9022e41363508f3beaa2915144f02851f4	a4eba73c7c202b2222a2e157221cda9022e41363508f3beaa2915144f02851f4	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		9
ep_pcie_drv.ko	65	392840	bb89f4f01f9340df2919e35a39150403e58a9d0e21bb8824189cc91ae83dc4e5	bb89f4f01f9340df2919e35a39150403e58a9d0e21bb8824189cc91ae83dc4e5	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		102
eud.ko	66	45936	4aac635ce344337a80711d63b0dfe98f80b01fe974c59497f6bd77287970c2d4	4aac635ce344337a80711d63b0dfe98f80b01fe974c59497f6bd77287970c2d4	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		54
f_fs_ipc_log.ko	67	63504	240b9748c322ebb02e029cc417981ec1c2bed4c13db4ff51e258efd4f522c3d8	240b9748c322ebb02e029cc417981ec1c2bed4c13db4ff51e258efd4f522c3d8	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		17
fingerprint.ko	68	71216	bc18b94ad5a92c60b9a556930ec8375664760c9768db1eb62a1fc581f0d6582d	bc18b94ad5a92c60b9a556930ec8375664760c9768db1eb62a1fc581f0d6582d	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		82
fingerprint_sysfs.ko	69	15960	a9f5af7baea45aca5d0faa4e3af9a861bc4be89ea8f6f6d63a64ed60280686a0	a9f5af7baea45aca5d0faa4e3af9a861bc4be89ea8f6f6d63a64ed60280686a0	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		7
flicker_test.ko	70	22888	1bf63844e2696ab469e982e28dcdcfd6f8598c16ec08766c5e84dcfa6d7f9fec	1bf63844e2696ab469e982e28dcdcfd6f8598c16ec08766c5e84dcfa6d7f9fec	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		16
frpc-adsprpc.ko	71	1000648	a229dd17d5cfbb6d06ff7dc1729976fac77289ce6bd6f9625cd5923fe02b17c7	a229dd17d5cfbb6d06ff7dc1729976fac77289ce6bd6f9625cd5923fe02b17c7	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		163
fsa4480-i2c.ko	72	23488	0be1f8554ea07039bf105a783676d44cc8a1f2c581492bad39c078c0ba291c3f	0be1f8554ea07039bf105a783676d44cc8a1f2c581492bad39c078c0ba291c3f	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		29
gh_irq_lend.ko	73	26528	d978a4c33469bd00e3fab62ef6842548f66126ada1e74fc46628f50328f03982	d978a4c33469bd00e3fab62ef6842548f66126ada1e74fc46628f50328f03982	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		21
gh_mem_notifier.ko	74	14592	1b2786bb1b19e56374603a71f170eed7280d204a1d0639f26bbaf1ae4d05f336	1b2786bb1b19e56374603a71f170eed7280d204a1d0639f26bbaf1ae4d05f336	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		7
gh_virtio_backend.ko	75	98488	5cdd4a138ebec4fb781719b37924f7273bef24964283d830cd70c9dfdbcdd78a	5cdd4a138ebec4fb781719b37924f7273bef24964283d830cd70c9dfdbcdd78a	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		104
glink_pkt.ko	76	64936	dcc0b4810bbefa31c8f98937688f1acf1fea5576901574c3b1e3b6ab500e4fe2	dcc0b4810bbefa31c8f98937688f1acf1fea5576901574c3b1e3b6ab500e4fe2	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		76
glink_probe.ko	77	24304	34213d846d74a95214ebee4c09394d3d920480a99c0dd3e60ce968c3914004ea	34213d846d74a95214ebee4c09394d3d920480a99c0dd3e60ce968c3914004ea	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		27
gpi.ko	78	121368	97276e3257755b3031aac27021199b38ed273f3be4b4f004bbd865a8931cdb5f	97276e3257755b3031aac27021199b38ed273f3be4b4f004bbd865a8931cdb5f	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		78
gplaf_scmi.ko	79	11480	1277702ffd0ad8553620c11ad429a5bbc1d47bc97ca4e3a96c0fe09ca4658746	1277702ffd0ad8553620c11ad429a5bbc1d47bc97ca4e3a96c0fe09ca4658746	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		4
gplaf_vendor.ko	80	14304	77708784e9da861b260c94056bfa40a03a2a5723b814a9043018610ba88c3298	77708784e9da861b260c94056bfa40a03a2a5723b814a9043018610ba88c3298	byte-identical	5.10.226-android12-9-gki-30958166-abS906NKSS7FYG8 SMP preempt mod_unload modversions aarch64		7
